time,p_x,p_y,p_z,f_x,f_y,f_z,tau_x,tau_y,tau_z
6.74,-0.113609,-0.0219119,2.48693,28.2794,609.908,40.7447,0,-0.893581,0
6.77,-0.142957,-0.0219119,2.48397,45.2931,629.148,43.1813,0,1.45724,0
6.82,-0.194001,-0.0219119,2.47961,88.0779,638.138,53.026,0,4.26811,0
6.87,-0.272832,-0.0219119,2.72718,106.549,486.678,35.1741,0,6.39822,0
6.97,-0.0362208,-0.0219119,0.300218,4.18222,-0.12066,-3.74206,0,0.748897,0
7.04,0.0155293,-0.0219119,-0.130319,-3.12065,-3.39442,1.26692,0,-0.378204,0
7.08,-0.00426973,-0.0219119,0.0395924,3.17989,11.0497,1.13283,0,0.137075,0
7.13,-0.00583961,-0.0219119,0.045731,0.821643,-0.765607,-0.742805,0,0.143399,0
7.16,0.00140415,-0.0219119,-0.0159712,-1.3643,-5.44324,-0.602106,0,-0.0456286,0
7.2,0.00383961,-0.0219119,-0.0337642,-0.901746,-1.7591,0.191806,0,-0.0898424,0
7.23,0.000618276,-0.0219119,-0.00545274,0.380523,1.63496,0.319198,0,0.000584996,0
7.27,-0.00196465,-0.0219119,0.0156524,0.65079,1.09258,-0.0262472,0,0.0550979,0
7.3,-0.0251378,-0.0219119,-0.34656,-0.0317562,-31.6163,1.71802,0,-0.546775,0
7.34,0.0267183,-0.0219119,0.345981,8.54622,-2.85156,-3.54485,0,0.708637,0
7.48,0.165135,-0.0219119,2.64683,-85.9148,563.63,25.0369,0,-6.2505,0
7.53,0.095885,-0.0219119,2.44751,-66.3955,585.077,31.9774,0,-7.81924,0
7.6,0.0514028,-0.0219119,2.51874,-31.7937,520.018,28.6383,0,-4.65763,0
7.65,0.0267847,-0.0219119,2.52151,-24.2261,495.957,29.5548,0,-4.43237,0
7.68,0.00878721,-0.0219119,2.48954,-19.557,506.114,31.318,0,-4.84793,0
7.72,-0.0215289,-0.0219119,2.47767,-9.49255,543.044,32.3426,0,-4.39255,0
7.75,-0.0478312,-0.0219119,2.4912,4.51027,574.753,31.8884,0,-2.74012,0
7.78,-0.0755401,-0.0219119,2.50231,21.5789,596.005,30.6736,0,-0.684923,0
7.82,-0.11341,-0.0219119,2.5031,40.9974,610.322,33.4029,0,0.26603,0
7.86,-0.155718,-0.0219119,2.49926,71.3956,625.309,40.9858,0,1.11885,0
7.9,-0.243767,-0.0219119,2.905,108.475,587.523,35.0959,0,4.48005,0
7.97,-0.166389,-0.0219119,1.60702,56.5155,197.01,5.98205,0,3.64532,0
8.05,0.00939402,-0.0219119,-0.101717,-7.19741,-26.1535,-1.73398,0,-0.43601,0
8.12,0.000480761,-0.0219119,0.00372494,2.24231,10.6841,1.1732,0,0.0662875,0
8.16,-0.00867566,-0.0219119,0.0750806,2.89391,6.09019,-0.191716,0,0.263522,0
8.2,-0.00102193,-0.0219119,0.00257361,-0.820794,-4.9639,-0.596473,0,-0.00810962,0
8.24,0.00404879,-0.0219119,-0.0380649,-1.39436,-3.60013,0.0336675,0,-0.120522,0
8.27,0.0018253,-0.0219119,-0.0158066,-0.041422,0.780676,0.269708,0,-0.0303722,0
8.3,-0.00118879,-0.0219119,0.0105675,0.784354,2.19136,0.129125,0,0.0522484,0
8.34,-0.0255437,-0.0219119,-0.341683,0.267826,-33.6015,3.00301,0,-1.16554,0
8.38,0.0236778,-0.0219119,0.348009,8.8089,1.15914,-5.25666,0,1.98223,0
8.42,0.112279,-0.0219119,1.47931,-5.95921,156.63,-13.8255,0,5.35679,0
8.58,0.0911066,-0.0219119,2.44022,-50.0121,572.733,29.6898,0,-5.28626,0
8.8,-0.0450467,-0.0219119,2.4952,12.3955,584.221,36.0248,0,-3.19259,0
8.87,-0.115578,-0.0219119,2.49657,56.0072,644.114,41.8091,0,-0.0298926,0
8.91,-0.154657,-0.0219119,2.49235,94.4987,645.034,41.0445,0,3.88349,0
8.97,-0.213705,-0.0219119,2.38689,92.3039,392.654,14.6287,0,5.06978,0
9.05,-0.0345418,-0.0219119,0.302249,5.20795,1.64025,-3.26762,0,0.190121,0
9.11,0.0170039,-0.0219119,-0.162095,-5.61054,-11.928,0.815055,0,-0.330607,0
9.16,-0.00325296,-0.0219119,0.0396648,3.1676,11.9192,0.75228,0,0.214647,0
9.22,-0.00339656,-0.0219119,0.0243614,0.0399176,-3.08889,-0.6566,0,-0.00753717,0
9.26,0.00345474,-0.0219119,-0.0369453,-1.62581,-4.94366,-0.0458064,0,-0.103055,0
9.29,0.00275739,-0.0219119,-0.0259571,-0.529432,-0.52091,0.275809,0,-0.0268805,0
9.32,-0.000294824,-0.0219119,0.00363956,0.629092,2.19305,0.17232,0,0.0474344,0
9.36,-0.0265356,-0.0219119,-0.392859,-2.45358,-13.9579,1.52511,0,-0.539403,0
9.4,0.000619966,-0.0219119,0.111315,6.58727,-24.0062,-0.947335,0,0.341264,0
9.44,0.107791,-0.0219119,1.19128,8.73522,70.6444,-7.99345,0,2.0252,0
